,0
0,"('song of', 967)"
1,"('the song', 731)"
2,"('of achilles', 634)"
3,"('of the', 133)"
4,"('achilles and', 108)"
5,"('reading the', 89)"
6,"('read the', 82)"
7,"('by madeline', 79)"
8,"('madeline miller', 64)"
9,"('achilles by', 63)"
10,"('achilles is', 53)"
11,"('and i', 52)"
12,"('finished the', 50)"
13,"('at the', 50)"
14,"('in the', 44)"
15,"('to read', 43)"
16,"('and the', 40)"
17,"('i just', 34)"
18,"('just finished', 34)"
19,"('but i', 33)"
20,"('to the', 32)"
21,"('with the', 31)"
22,"('i am', 30)"
23,"('both die', 28)"
24,"('of song', 28)"
25,"('they both', 26)"
26,"('die at', 26)"
27,"('for the', 26)"
28,"('on the', 25)"
29,"('i have', 25)"
30,"('achilles i', 24)"
31,"('the end', 23)"
32,"('read song', 23)"
33,"('of my', 21)"
34,"('i read', 21)"
35,"('want to', 20)"
36,"('achilles for', 20)"
37,"('going to', 19)"
38,"('is so', 19)"
39,"('of and', 19)"
40,"('the book', 18)"
41,"('from the', 18)"
42,"('i would', 17)"
43,"('read it', 17)"
44,"('i think', 17)"
45,"('is the', 17)"
46,"('but the', 16)"
47,"('is a', 16)"
48,"('made me', 16)"
49,"('i love', 16)"
50,"('if you', 16)"
51,"('of evelyn', 16)"
52,"('to be', 16)"
53,"('and then', 16)"
54,"('so i', 16)"
55,"('of a', 16)"
56,"('i finished', 15)"
57,"('i will', 15)"
58,"('a good', 15)"
59,"('you read', 15)"
60,"('achilles the', 15)"
61,"('husbands of', 15)"
62,"('of stars', 15)"
63,"('finished reading', 14)"
64,"('by the', 14)"
65,"('this book', 14)"
66,"('literarybase the', 14)"
67,"('achilles but', 14)"
68,"('six of', 14)"
69,"('stars to', 14)"
70,"('about the', 13)"
71,"('i was', 13)"
72,"('a lot', 13)"
73,"('of of', 13)"
74,"('this is', 13)"
75,"('to start', 13)"
76,"('one of', 13)"
77,"('the the', 13)"
78,"('achilles or', 12)"
79,"('we were', 12)"
80,"('as the', 12)"
81,"('listening to', 12)"
82,"('finish the', 12)"
83,"('a book', 12)"
84,"('young royals', 12)"
85,"('reading song', 12)"
86,"('all the', 12)"
87,"('seven husbands', 12)"
88,"('achilles in', 12)"
89,"('i need', 12)"
90,"('achilles was', 12)"
91,"('in a', 11)"
92,"('would know', 11)"
93,"('end of', 11)"
94,"('that i', 11)"
95,"('to get', 11)"
96,"('start reading', 11)"
97,"('the seven', 11)"
98,"('i know', 11)"
99,"('story of', 11)"
100,"('copy of', 10)"
101,"('the story', 10)"
102,"('it was', 10)"
103,"('need to', 10)"
104,"('my heart', 10)"
105,"('a little', 10)"
106,"('the first', 9)"
107,"('about to', 9)"
108,"('the same', 9)"
109,"('if u', 9)"
110,"('it ends', 9)"
111,"('done with', 9)"
112,"('for a', 9)"
113,"('i want', 9)"
114,"('and they', 9)"
115,"('and royal', 9)"
116,"('the i', 9)"
117,"('of just', 9)"
118,"('him by', 8)"
119,"('know him', 8)"
120,"('the last', 8)"
121,"('to me', 8)"
122,"('half of', 8)"
123,"('and im', 8)"
124,"('currently reading', 8)"
125,"('excited to', 8)"
126,"('so much', 8)"
127,"('such a', 8)"
128,"('book is', 8)"
129,"('to finish', 8)"
130,"('like a', 8)"
131,"('was the', 8)"
132,"('ends with', 8)"
133,"('tell me', 8)"
134,"('and so', 8)"
135,"('reread the', 8)"
136,"('so good', 8)"
137,"('i literally', 8)"
138,"('achilles song', 8)"
139,"('if i', 8)"
140,"('lot of', 8)"
141,"('and a', 8)"
142,"('and now', 8)"
143,"('have a', 8)"
144,"('white and', 8)"
145,"('time to', 8)"
146,"('out of', 8)"
147,"('me to', 8)"
148,"('the midnight', 7)"
149,"('or the', 7)"
150,"('me that', 7)"
151,"('achilles madeline', 7)"
152,"('achilles so', 7)"
153,"('when i', 7)"
154,"('feel like', 7)"
155,"('page of', 7)"
156,"('i keep', 7)"
157,"('on my', 7)"
158,"('me the', 7)"
159,"('me cry', 7)"
160,"('started the', 7)"
161,"('it so', 7)"
162,"('have you', 7)"
163,"('finished it', 7)"
164,"('because of', 7)"
165,"('bought the', 7)"
166,"('bc i', 7)"
167,"('i loved', 7)"
168,"('the time', 7)"
169,"('and song', 7)"
170,"('finished song', 7)"
171,"('it is', 7)"
172,"('do i', 7)"
173,"('started reading', 7)"
174,"('have to', 7)"
175,"('you like', 7)"
176,"('to song', 7)"
177,"('the way', 6)"
178,"('because i', 6)"
179,"('have the', 6)"
180,"('was so', 6)"
181,"('is half', 6)"
182,"('the poets', 6)"
183,"('i really', 6)"
184,"('that book', 6)"
185,"('is it', 6)"
186,"('achilles today', 6)"
187,"('it i', 6)"
188,"('my favorite', 6)"
189,"('think i', 6)"
190,"('and circe', 6)"
191,"('reading it', 6)"
192,"('of it', 6)"
193,"('circe and', 6)"
194,"('and it', 6)"
195,"('in one', 6)"
196,"('who was', 6)"
197,"('the bright', 6)"
198,"('get the', 6)"
199,"('achilles last', 6)"
200,"('if we', 6)"
201,"('like the', 6)"
202,"('into the', 6)"
203,"('the next', 6)"
204,"('i did', 6)"
205,"('i feel', 6)"
206,"('so excited', 6)"
207,"('of crows', 6)"
208,"('be a', 6)"
209,"('a the', 6)"
210,"('you can', 6)"
211,"('i already', 6)"
212,"('for my', 6)"
213,"('listen to', 6)"
214,"('red white', 6)"
215,"('through the', 6)"
216,"('the most', 6)"
217,"('to buy', 6)"
218,"('some of', 6)"
219,"('of all', 6)"
220,"('start the', 6)"
221,"('a song', 6)"
222,"('of them', 6)"
223,"('in and', 6)"
224,"('starting the', 6)"
225,"('finishing the', 6)"
226,"('a few', 6)"
227,"('then i', 6)"
228,"('my fav', 6)"
229,"('goodreads the', 6)"
230,"('new to', 6)"
231,"('book song', 5)"
232,"('the invisible', 5)"
233,"('invisible life', 5)"
234,"('life of', 5)"
235,"('a thousand', 5)"
236,"('to have', 5)"
237,"('will never', 5)"
238,"('book but', 5)"
239,"('is my', 5)"
240,"('patroclus and', 5)"
241,"('and achilles', 5)"
242,"('would be', 5)"
243,"('since i', 5)"
244,"('to feel', 5)"
245,"('in my', 5)"
246,"('greek mythology', 5)"
247,"('achilles a', 5)"
248,"('a retelling', 5)"
249,"('retelling of', 5)"
250,"('but it', 5)"
251,"('achilles will', 5)"
252,"('it but', 5)"
253,"('read both', 5)"
254,"('know how', 5)"
255,"('i bought', 5)"
256,"('one hero', 5)"
257,"('hero who', 5)"
258,"('is such', 5)"
259,"('on a', 5)"
260,"('and this', 5)"
261,"('miller the', 5)"
262,"('read this', 5)"
263,"('to make', 5)"
264,"('as a', 5)"
265,"('am i', 5)"
266,"('and read', 5)"
267,"('of books', 5)"
268,"('me so', 5)"
269,"('i got', 5)"
270,"('and patroclus', 5)"
271,"('buy the', 5)"
272,"('i recommend', 5)"
273,"('to a', 5)"
274,"('go to', 5)"
275,"('i hate', 5)"
276,"('about it', 5)"
277,"('all of', 5)"
278,"('me i', 5)"
279,"('book and', 5)"
280,"('thinking about', 5)"
281,"('looking for', 5)"
282,"('the sun', 5)"
283,"('we are', 5)"
284,"('my eyes', 5)"
285,"('talking about', 5)"
286,"('that was', 5)"
287,"('you have', 5)"
288,"('back to', 5)"
289,"('i also', 5)"
290,"('book i', 5)"
291,"('my favs', 5)"
292,"('is not', 5)"
293,"('cause i', 4)"
294,"('midnight library', 4)"
295,"('i cant', 4)"
296,"('could recognize', 4)"
297,"('recognize him', 4)"
298,"('by touch', 4)"
299,"('way his', 4)"
300,"('came and', 4)"
301,"('and his', 4)"
302,"('his feet', 4)"
303,"('feet struck', 4)"
304,"('struck the', 4)"
