,words,repeated
0,If you,0
1,you know,19
2,know the,11
3,the enemy,46
4,enemy amp,0
5,amp know,0
6,know yourself,5
7,yourself you,1
8,you need,9
9,need not,5
10,not fear,6
11,fear the,6
12,the result,4
13,result of,4
14,of a,49
15,a hundred,7
16,hundred battles,0
17,battles If,0
18,yourself but,2
19,but not,5
20,not the,9
21,enemy for,0
22,for every,2
23,every victory,2
24,victory gained,2
25,gained you,2
26,you will,11
27,will also,2
28,also suffer,2
29,suffer a,2
30,a defeat,0
31,defeat If,0
32,know neither,1
33,neither the,1
34,enemy nor,1
35,nor yourself,0
36,will succumb,1
37,succumb in,1
38,in every,3
39,every battle,1
40,The Art,0
41,Art of,0
42,of War,0
43,Todays Italian,0
44,Italian American,0
45,American MLB,0
46,MLB player,0
47,player is,1
48,is Art,0
49,Art Ceccarelli,0
50,Ceccarelli pitched,0
51,pitched for,1
52,for the,49
53,the KC,0
54,KC Athletics,0
55,Athletics Orioles,0
56,Orioles amp,0
57,amp Cubs,0
58,Cubs in,0
59,in parts,1
60,parts of,2
61,of seasons,1
62,seasons spanning,1
63,spanning â,0
64,â served,0
65,served in,1
66,in the,152
67,the Korean,0
68,Korean War,0
69,War from,0
70,from only,1
71,only LHP,0
72,LHP to,0
73,to defeat,7
74,defeat Sandy,0
75,Sandy Koufax,0
76,Koufax in,0
77,the Coliseum,0
78,Coliseum inn,0
79,inn more,0
80,more httpstcoKugMNIrvo,0
81,rramom You,0
82,You are,0
83,are such,1
84,such a,2
85,a drama,1
86,drama queen,0
87,queen Have,0
88,Have patience,0
89,âœRouse him,0
90,him and,0
91,and learn,2
92,learn the,4
93,the principle,1
94,principle of,1
95,of his,9
96,his activity,1
97,activity or,1
98,or inactivity,0
99,inactivity Force,0
100,Force him,0
101,him to,2
102,to reveal,1
103,reveal himself,0
104,himself so,0
105,so as,1
106,as to,2
107,to find,1
108,find out,2
109,out his,1
110,his vulnerable,1
111,vulnerable spotsâ,0
112,â Sun,0
113,Sun Tzu,0
114,Tzu The,0
115,When a,0
116,a persons,0
117,persons financial,0
118,financial worth,1
119,worth is,1
120,is wrapped,1
