,words,repeated
0,fireplacewitch i want,0
1,i want new,8
2,want new moots,0
3,new moots im,0
4,moots im cool,0
5,im cool with,9
6,cool with anyone,9
7,with anyone booktwt,0
8,anyone booktwt filmtwt,0
9,booktwt filmtwt arttwt,0
10,filmtwt arttwt studytwt,0
11,arttwt studytwt etc,0
12,studytwt etc just,0
13,etc just be,0
14,just be and,9
15,be and nice,0
16,so yeah follow,1
17,yeah follow meâ,0
18,Lauren OTD â,0
19,OTD â Pandro,0
20,â Pandro S,0
21,Pandro S Berman,0
22,S Berman Aged,0
23,Berman Aged US,0
24,Aged US filmmaker,0
25,US filmmaker b,0
26,Picture of Dorian,0
27,of Dorian Gray,0
28,Dorian Gray The,0
29,Gray The Three,0
30,The Three Musketeers,0
31,Three Musketeers The,0
32,Musketeers The Briâ,0
33,The Picture of,0
34,BooksStoryline Ten great,0
35,Ten great lines,0
36,great lines from,20
37,lines from novels,0
38,from novels âœThe,0
39,novels âœThe curves,0
40,âœThe curves of,0
41,curves of your,20
42,of your lips,20
43,your lips rewrite,20
44,lips rewrite historyâ,0
45,rewrite historyâ âOscar,0
46,historyâ âOscar Wilde,0
47,âOscar Wilde The,0
48,Wilde The Picture,0
49,Dorian Gray âœI,0
50,Gray âœI toâ,0
51,LiteratureFace What the,0
52,What the invention,0
53,the invention of,2
54,invention of oilpainting,0
55,of oilpainting was,0
56,oilpainting was to,0
57,was to the,2
58,to the Venetians,0
59,the Venetians the,0
60,Venetians the face,0
61,the face of,4
62,face of Antinous,0
63,of Antinous was,0
64,Antinous was to,0
65,was to late,2
66,to late Greek,0
67,late Greek sculpture,0
68,Greek sculpture and,0
69,sculpture and the,0
70,and the facâ,0
71,bookhooe btw helloo,0
72,btw helloo im,0
73,helloo im new,0
74,im new to,2
75,new to booktwt,0
76,to booktwt amp,0
77,booktwt amp im,0
78,amp im looking,0
79,im looking for,2
80,looking for some,9
81,for some moots,0
82,aristole and dante,7
83,and dante discover,7
84,dante discover the,7
85,discover the secrets,7
86,the secrets of,7
87,secrets of tâ,0
88,Chiltern Classic series,0
89,Classic series is,0
90,series is so,1
