,0
0,"('the song of', 729)"
1,"('song of achilles', 620)"
2,"('of achilles and', 99)"
3,"('reading the song', 87)"
4,"('read the song', 72)"
5,"('of achilles by', 63)"
6,"('achilles by madeline', 55)"
7,"('by madeline miller', 54)"
8,"('of achilles is', 52)"
9,"('of the song', 50)"
10,"('finished the song', 46)"
11,"('song of the', 29)"
12,"('of song of', 28)"
13,"('both die at', 26)"
14,"('die at the', 26)"
15,"('they both die', 25)"
16,"('of achilles i', 24)"
17,"('just finished the', 23)"
18,"('read song of', 23)"
19,"('to the song', 22)"
20,"('to read the', 21)"
21,"('of achilles for', 19)"
22,"('with the song', 17)"
23,"('achilles and i', 17)"
24,"('and the song', 17)"
25,"('at the end', 16)"
26,"('of achilles the', 15)"
27,"('husbands of evelyn', 15)"
28,"('finished reading the', 14)"
29,"('i just finished', 14)"
30,"('literarybase the song', 14)"
31,"('of stars to', 14)"
32,"('stars to the', 14)"
33,"('of achilles but', 13)"
34,"('of achilles or', 12)"
35,"('finish the song', 12)"
36,"('reading song of', 12)"
37,"('seven husbands of', 12)"
38,"('of achilles in', 12)"
39,"('the end of', 11)"
40,"('achilles is so', 11)"
41,"('from the song', 11)"
42,"('of achilles was', 11)"
43,"('about the song', 10)"
44,"('in the song', 10)"
45,"('the seven husbands', 10)"
46,"('song of a', 10)"
47,"('i would know', 9)"
48,"('i read the', 9)"
49,"('done with the', 9)"
50,"('copy of the', 9)"
51,"('would know him', 8)"
52,"('of of the', 8)"
53,"('it ends with', 8)"
54,"('reread the song', 8)"
55,"('a lot of', 8)"
56,"('white and royal', 8)"
57,"('achilles the song', 8)"
58,"('end of the', 7)"
59,"('of achilles madeline', 7)"
60,"('of achilles so', 7)"
61,"('page of of', 7)"
62,"('start reading the', 7)"
63,"('started the song', 7)"
64,"('bought the song', 7)"
65,"('achilles and the', 7)"
66,"('but the song', 7)"
67,"('finished song of', 7)"
68,"('the story of', 7)"
69,"('is the song', 7)"
70,"('i want to', 7)"
71,"('achilles for the', 7)"
72,"('to song of', 7)"
73,"('i finished the', 6)"
74,"('is half of', 6)"
75,"('half of my', 6)"
76,"('as the poets', 6)"
77,"('excited to read', 6)"
78,"('of achilles today', 6)"
79,"('achilles is the', 6)"
80,"('and song of', 6)"
81,"('six of crows', 6)"
82,"('and they both', 6)"
83,"('i have a', 6)"
84,"('story of achilles', 6)"
85,"('start the song', 6)"
86,"('starting the song', 6)"
87,"('you read the', 6)"
88,"('goodreads the song', 6)"
89,"('if you like', 6)"
90,"('one of my', 6)"
91,"('book song of', 5)"
92,"('achilles i am', 5)"
93,"('the invisible life', 5)"
94,"('invisible life of', 5)"
95,"('me the song', 5)"
96,"('to finish the', 5)"
97,"('made me cry', 5)"
98,"('for the song', 5)"
99,"('of achilles a', 5)"
100,"('achilles is a', 5)"
101,"('a retelling of', 5)"
102,"('retelling of the', 5)"
103,"('have you read', 5)"
104,"('just finished reading', 5)"
105,"('and i am', 5)"
106,"('one hero who', 5)"
107,"('hero who was', 5)"
108,"('achilles is such', 5)"
109,"('is such a', 5)"
110,"('all the bright', 5)"
111,"('of achilles last', 5)"
112,"('madeline miller the', 5)"
113,"('achilles and patroclus', 5)"
114,"('a the song', 5)"
115,"('to start reading', 5)"
116,"('buy the song', 5)"
117,"('i need to', 5)"
118,"('want to read', 5)"
119,"('a song of', 5)"
120,"('finishing the song', 5)"
121,"('and then i', 5)"
122,"('the the song', 5)"
123,"('to read song', 5)"
124,"('as the song', 5)"
125,"('the midnight library', 4)"
126,"('could recognize him', 4)"
127,"('recognize him by', 4)"
128,"('him by touch', 4)"
129,"('by the way', 4)"
130,"('the way his', 4)"
131,"('came and his', 4)"
132,"('and his feet', 4)"
133,"('his feet struck', 4)"
134,"('feet struck the', 4)"
135,"('know him in', 4)"
136,"('life of addie', 4)"
137,"('book the song', 4)"
138,"('my copy of', 4)"
139,"('such a good', 4)"
140,"('this book is', 4)"
141,"('of achilles rn', 4)"
142,"('by the same', 4)"
143,"('i think i', 4)"
144,"('of achilles will', 4)"
145,"('ends with us', 4)"
146,"('of achilles has', 4)"
147,"('of achilles bc', 4)"
148,"('and this is', 4)"
149,"('this is how', 4)"
150,"('is so good', 4)"
151,"('story of the', 4)"
152,"('get the song', 4)"
153,"('to read it', 4)"
154,"('achilles and they', 4)"
155,"('about to start', 4)"
156,"('of us is', 4)"
157,"('i had to', 4)"
158,"('achilles and then', 4)"
159,"('red white and', 4)"
160,"('achilles but i', 4)"
161,"('on the song', 4)"
162,"('to start the', 4)"
163,"('the i would', 4)"
164,"('one of the', 4)"
165,"('achilles in the', 4)"
166,"('dante discover the', 4)"
167,"('discover the secrets', 4)"
168,"('the secrets of', 4)"
169,"('secrets of the', 4)"
170,"('of achilles book', 4)"
171,"('with song of', 4)"
172,"('me to read', 4)"
173,"('of achilles yet', 4)"
174,"('i have to', 4)"
175,"('if we were', 4)"
176,"('will read the', 3)"
177,"('achilles or the', 3)"
178,"('of achilles with', 3)"
179,"('way his breaths', 3)"
180,"('his breaths came', 3)"
181,"('breaths came and', 3)"
182,"('to me that', 3)"
183,"('currently reading the', 3)"
184,"('patroclus and achilles', 3)"
185,"('of achilles yesterday', 3)"
186,"('of achilles if', 3)"
187,"('a good book', 3)"
188,"('since i finished', 3)"
189,"('the book but', 3)"
190,"('of achilles to', 3)"
191,"('of achilles now', 3)"
192,"('a book that', 3)"
193,"('me want to', 3)"
194,"('of the iliad', 3)"
195,"('i just started', 3)"
196,"('me reading the', 3)"
197,"('havent read it', 3)"
198,"('is the greatest', 3)"
199,"('you read song', 3)"
200,"('achilles and circe', 3)"
201,"('of achilles on', 3)"
202,"('because of the', 3)"
203,"('the end and', 3)"
204,"('love the song', 3)"
205,"('daughters of sparta', 3)"
206,"('of sparta by', 3)"
207,"('of achilles made', 3)"
208,"('achilles made me', 3)"
209,"('like the song', 3)"
210,"('is how you', 3)"
211,"('how you lose', 3)"
212,"('you lose the', 3)"
213,"('lose the time', 3)"
214,"('miller the song', 3)"
215,"('young royals and', 3)"
216,"('of achilles im', 3)"
217,"('so excited to', 3)"
218,"('for fans of', 3)"
219,"('achilles and a', 3)"
220,"('and a lot', 3)"
221,"('die in the', 3)"
222,"('of achilles quotes', 3)"
