,words,repeated
0,fireplacewitch i,0
1,i want,22
2,want new,9
3,new moots,0
4,moots im,0
5,im cool,9
6,cool with,9
7,with anyone,9
8,anyone booktwt,0
9,booktwt filmtwt,0
10,filmtwt arttwt,0
11,arttwt studytwt,0
12,studytwt etc,0
13,etc just,0
14,just be,9
15,be and,9
16,and nice,0
17,so yeah,1
18,yeah follow,9
19,follow meâ,0
20,Lauren OTD,0
21,OTD â,0
22,â Pandro,0
23,Pandro S,0
24,S Berman,0
25,Berman Aged,0
26,Aged US,0
27,US filmmaker,0
28,filmmaker b,0
29,Picture of,0
30,of Dorian,0
31,Dorian Gray,0
32,Gray The,0
33,The Three,0
34,Three Musketeers,0
35,Musketeers The,0
36,The Briâ,0
37,The Picture,0
38,ambageni httpstcofVoMAPMmL,0
39,BooksStoryline Ten,0
40,Ten great,0
41,great lines,20
42,lines from,20
43,from novels,0
44,novels âœThe,0
45,âœThe curves,0
46,curves of,20
47,of your,20
48,your lips,20
49,lips rewrite,20
50,rewrite historyâ,0
51,historyâ âOscar,0
52,âOscar Wilde,0
53,Wilde The,0
54,Gray âœI,0
55,âœI toâ,0
56,LiteratureFace What,0
57,What the,0
58,the invention,2
59,invention of,2
60,of oilpainting,0
61,oilpainting was,0
62,was to,4
63,to the,21
64,the Venetians,0
65,Venetians the,0
66,the face,4
67,face of,4
68,of Antinous,0
69,Antinous was,0
70,to late,2
71,late Greek,0
72,Greek sculpture,0
73,sculpture and,0
74,and the,34
75,the facâ,0
76,bookhooe btw,0
77,btw helloo,7
78,helloo im,0
79,im new,2
80,new to,13
81,to booktwt,0
82,booktwt amp,0
83,amp im,0
84,im looking,2
85,looking for,11
86,for some,10
87,some moots,0
88,aristole and,7
89,and dante,7
90,dante discover,7
91,discover the,8
92,the secrets,7
93,secrets of,7
94,of tâ,0
95,Chiltern Classic,0
96,Classic series,0
97,series is,1
98,is so,5
99,so beautiful,1
100,beautiful ðŸ,0
101,ðŸ want,0
102,want The,0
103,Gray but,0
104,but its,0
105,its not,0
106,not available,1
107,available in,1
108,in the,34
109,the store,1
110,store httpstcocwRmdiqiP,0
111,ryanthestan picture,1
112,picture of,585
113,of dorian,681
114,dorian gray,351
115,gray is,10
116,is really,1
117,really good,1
118,good but,2
119,but if,1
120,if you,6
121,you donât,0
122,donât want,0
123,want to,28
124,to read,9
125,read a,1
126,a full,1
127,full novel,0
128,novel i,1
129,i suggest,1
130,suggest starting,1
131,starting out,1
132,out with,1
133,with some,1
134,some of,6
135,of his,1
136,his plays,1
137,plays the,0
138,the importance,1
139,importance of,2
140,of being,4
141,being ernest,1
142,ernest amp,0
143,amp a,0
144,a woman,1
145,woman of,1
146,of no,3
147,no importance,1
148,importance were,1
149,were a,2
150,a couple,1
151,couple of,2
152,of my,25
153,my favs,0
154,follow me,1
155,me if,2
156,if u,3
157,u like,0
158,RTLIKE PLEASE,0
159,PLEASE ðŸ,0
160,currently manifesting,0
161,manifesting a,1
162,a picture,7
163,gray situation,1
164,situation where,1
165,where each,1
166,each time,1
167,time I,0
168,I stub,0
169,stub my,1
170,my toe,1
171,toe or,1
172,or slam,1
173,slam my,1
174,my elbow,1
175,elbow into,1
176,into something,1
177,something the,2
178,the stanley,1
179,stanley cup,1
180,cup takes,1
181,takes my,1
182,my damage,0
183,damage i,0
184,want it,1
185,it to,3
186,to have,1
187,have the,7
188,the texture,1
189,texture of,1
190,of a,16
191,a thimble,0
192,I read,0
193,read The,0
194,Gray and,0
195,and attached,1
196,attached myself,1
197,myself to,1
198,to Lord,0
199,Lord Henry,0
200,Henry Wotton,0
201,Wotton at,0
202,at too,1
203,too impressionable,1
204,impressionable an,1
205,an age,1
206,age and,1
207,and now,1
208,now I,0
209,I will,0
210,will literally,1
211,literally do,1
212,do anything,1
213,anything just,1
214,just for,1
215,for the,33
216,the experience,0
217,gatitomars the,1
218,the picture,483
219,gray and,14
220,the secret,3
221,secret history,3
222,history i,0
223,i have,10
224,have successfully,1
225,successfully gotten,1
226,gotten through,1
227,through like,1
228,like one,2
229,one page,1
230,page in,1
231,in both,1
232,both of,1
233,of those,1
234,those bc,1
235,bc im,2
236,im lazy,0
237,lazy i,0
238,i can,5
239,can rec,1
240,rec some,1
241,some comics,0
242,comics web,0
243,web comics,1
244,comics too,1
245,too if,1
246,you want,3
247,Gray will,0
248,will some,1
249,some day,1
250,day be,1
251,be to,1
252,to me,1
253,me Oscar,0
254,Oscar Wilde,0
255,estou lendo,0
256,do george,1
257,george orwell,0
258,gray do,3
259,do oscar,1
260,oscar wilde,41
261,I think,0
262,think getting,1
263,getting volumes,1
264,volumes of,1
265,of black,1
266,black butler,1
267,butler and,1
268,gray in,3
269,in a,22
270,a single,2
271,single library,1
272,library trip,1
273,trip is,1
274,is probably,1
275,probably a,1
276,a symptom,1
277,symptom of,1
278,of some,2
279,some previously,1
280,previously undescribed,1
281,undescribed mental,1
282,mental illness,0
283,âœI took,0
284,took a,4
285,a deep,4
286,deep breath,4
287,breath and,4
288,and listened,4
289,listened to,4
290,the old,6
291,old brag,4
292,brag of,4
293,my heart,1
294,heart I,0
295,I am,0
296,am I,0
297,I amââSylvia,0
298,amââSylvia Plath,0
299,Plath The,0
300,The Bell,0
301,Bell Jar,0
302,Jar httpstcoyqlZmbqcmA,0
303,httpstcoyqlZmbqcmA books,0
304,books writing,0
305,writing writerslife,0
306,literarybase The,0
307,The Bribe,0
308,Bribe Father,0
309,Father of,0
310,of Bride,0
311,Bride Ivanhoe,0
312,Ivanhoe Knights,0
313,Knights of,0
314,of the,219
315,the Round,0
316,Round Table,0
317,Table Blackboard,0
318,Blackboard Jungle,0
319,Jungle Bhowani,0
320,Bhowani Junction,0
321,Junction BUtterfield,0
322,BUtterfield Sweet,0
323,Sweet Bird,0
324,Bird of,0
325,of Youth,0
326,Youth A,0
327,A Patch,0
328,Patch of,0
329,of Blue,0
330,Blue httpstcoXVuLB,0
331,ââ cr,0
332,cr the,0
333,gray httpstcoEfAdhbIny,0
334,LouiseSalome Some,0
335,Some things,0
336,things are,19
337,are more,19
338,more precious,19
339,because they,19
340,they dont,0
341,dont last,0
342,last long,0
343,You will,0
344,will always,22
345,always be,21
346,be fond,21
347,fond of,22
348,of me,0
349,I represent,0
350,represent to,21
351,to you,21
352,you all,21
353,all thâ,0
354,bookishcrows i,1
355,i think,4
356,think itâs,0
357,itâs going,0
358,going to,2
359,to be,23
360,be the,5
361,Dorian gray,0
362,gray wbu,0
363,MrRaceBannon Like,0
364,Like the,0
365,Gray for,0
366,the Cancervatives,0
367,atlurbanist The,0
368,The first,0
369,first image,7
370,image is,7
371,is a,10
372,a map,7
373,map showing,7
374,showing the,7
375,the footprint,7
376,footprint of,7
377,of buildings,7
378,buildings before,7
379,before parking,7
380,parking dominated,7
381,dominated source,0
382,source Emory,0
383,Emory Library,0
384,To meâ,0
385,i enjoy,0
386,enjoy the,2
387,gray way,1
388,way too,1
389,too much,1
390,wylanloml super,1
391,super basic,1
392,basic but,2
393,but the,26
394,so cliche,0
395,cliche but,1
396,but read,1
397,read the,19
398,the bell,6
399,bell jar,5
400,jar kafka,0
401,kafka by,1
402,by the,5
403,the shore,0
404,shore a,0
405,gray they,0
406,they should,1
407,should watch,1
408,watch trainspotting,0
409,trainspotting sofia,0
410,sofia coppolaâs,0
411,coppolaâs movies,0
412,movies McQueen,0
413,McQueen and,0
414,and bojack,1
415,bojack horseman,1
416,horseman and,1
417,and listen,1
418,listen to,1
419,to slowdive,0
420,slowdive around,0
421,around the,1
422,the fur,0
423,fur geidi,0
424,geidi primes,0
425,primes disintegration,0
426,disintegration crystal,0
427,crystal castles,1
428,castles httpstcoaFSboE,0
429,i did,1
430,did not,2
431,not enjoy,1
